Account: Micro Region,Account: Billing Country,Workload Progress,Primary Workload Pillar,Key Workload Products,Solutions,Account: Account Name,Account: Account Owner,Account: Product Area,Workload: Workload Name,Primary CE Technical Owner,Workload Gross Annual Recurring Revenue (converted),Implementation Lead,Partner,Workload End Date,PSF Investment,PSF Status,PSF Type,Opportunity,Tiene Gemini Enterprise en ell Workload,Tiene Gemini Enterprise en la Oportunidad?,Aparently is GE
Multi Industry,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,,,Usinas Itamarati S/A,João Alves,,UISA - curva de POL,Jose Augusto Lima,"USD 90,000",Partner,,,go/psf-request,psf-request,,"[Usinas Itamarat] Commit $6,400,000 TCV/ 6 YR with SAP",FALSE,FALSE,
Multi Industry,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,,,Usinas Itamarati S/A,João Alves,,UISA - Classificação e roteamento de chamados Fluig,,"USD 90,000",Partner,,,go/psf-request,psf-request,,"[Usinas Itamarat] Commit $6,400,000 TCV/ 6 YR with SAP",FALSE,FALSE,
Brazil DN,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,,,Minuta IA (duplicada) / Caio Perona,Lara Lopez,,Minuta AI - Vertex AI,,"USD 20,000",Unknown,,,go/psf-request,psf-request,,Minuta.AI - Commit,FALSE,FALSE,
FSI,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,,,A5X SA,Renata Taglianetti,,A5X_Antigravity,,"USD 20,000",Customer,,,go/psf-request,psf-request,,A5X_Antigravity,FALSE,FALSE,
MX DN,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,DataFierce / Contalink,Luis Cabrera,,Nubosoft - Gemini Va AI,,"USD 36,000",Customer,,,go/psf-request,psf-request,,Nubosoft - Vertex AI Search - #Gemini Enterprise,FALSE,TRUE,Gemini enterprise
MCO CORP CCA,Peru,0-2: Tech Eval/Solution Dev,Build with AI,,,Grupo Sandoval,Arianne Mahuad,,Dinet | 500 Licencias Gemini Enterprise,,"USD 90,000",Unknown,,,go/psf-request,psf-request,,Dinet | 500 Licencias Gemini Enterprise,TRUE,TRUE,Gemini enterprise
FSI,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,,,Banco Mercantil do Brasil S/A,Soraya Lima Thorsjö,,IA jurídico,Douglas Augusto,"USD 97,000",Customer,,,go/psf-request,psf-request,,IA jurídico,FALSE,FALSE,
"MX FSI, Services & WR",Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,Banco Invex,Fernando Irure,,Gemini Enterprise - asistente de productividad,,"USD 300,000",Unknown,,,go/psf-request,psf-request,,Invex Partnership,TRUE,FALSE,Gemini enterprise
BR CORP,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Gemini AI,,SAO SALVADOR ALIMENTOS S/A,Roberta Coelho,,GE_EA_SSA,,"USD 28,967",Partner,Safetec Informatica Ltda.,,go/psf-request,psf-request,,GE_EA_SSA,FALSE,FALSE,
MCO CORP NORTE,Colombia,0-2: Tech Eval/Solution Dev,Build with AI,,,Constructora Conconcreto S.A,Dario Palma Villarreal,,Q4-FY26 Concreto #GCP #Enterprise Agreement,Renan Teixeira Felix,"USD 84,000",Partner,Davinci Technologies S.A.S.,,go/psf-request,psf-request,,Q4-FY26 Concreto #GCP #Enterprise Agreement,TRUE,TRUE,Gemini enterprise
"UK/IE CPG, Retail & Fashion",United Kingdom,0-2: Tech Eval/Solution Dev,Build with AI,,,AllSaints Retail Limited,Leah Shergold,,AllSaints - GE 50 seat renewal,,"USD 50,000",Partner,Pythian Services Inc.,,go/psf-request,psf-request,,AllSaints Retail Limited-Renewal-Vertex AI Spark Linear-2026,TRUE,FALSE,Gemini enterprise
Brazil DN,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,,,Arquivei,Mariana Martins Vasconcelos,,[Qive] Gemini Enterprise,,"USD 149,211",Partner,GENTROP CLOUD BRASIL LTDA EPP,,go/psf-request,psf-request,,Arquivei - Gemini Enterprise,TRUE,TRUE,Gemini enterprise
Brazil DN,Brazil,3:  Proposal / Negotiation,Build with AI,Cloud AI - Vertex AI Model Garden,,Open Co Tecnologia S.A.,Henrique Ueda,,Recommendation AI - BNPL,,"USD 100,000",Customer,,,go/psf-request,psf-request,,,FALSE,FALSE,
Brazil DN,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Model Garden,,DOTZ,Henrique Ueda,,Dotz - AI for Business - LLM for customer acquisition,,,Customer,,,go/psf-request,psf-request,,,FALSE,FALSE,
AUNZ TECHSS,Cayman Islands,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Platform,,Midnight Foundation,Richard Smith,,MNF Vibe Coding solution,Kunal Limaye,"USD 75,000",Partner,BCW HK Limited,,go/psf-request,psf-request,,Midnight - Vibe coding Tool,FALSE,FALSE,
Brazil DN,Brazil,0-2: Tech Eval/Solution Dev,,Cloud AI - Vertex AI Search,,OLX Brasil,Henrique Ueda,,[OLX] VAIS:Commerce for OLX Retail,,"USD 300,000",Unknown,,,go/psf-request,psf-request,,,FALSE,FALSE,
Brazil DN,Brazil,0-2: Tech Eval/Solution Dev,,Cloud AI - Vertex AI Model Garden,,IFOOD.COM AGENCIA DE RESTAURANTES ONLINE S.A.,Henrique Ueda,,[iFood] OpenAI Takeover,Alexandre de Oliveira,"USD 500,000",Customer,,,go/psf-request,psf-request,,,FALSE,FALSE,
Brazil DN,Brazil,4.2: Ramping / Deliver,Build with AI,Cloud AI - Vertex AI Model Garden,,IFOOD.COM AGENCIA DE RESTAURANTES ONLINE S.A.,Henrique Ueda,,[iFood] Anthropic on GCP,Alexandre de Oliveira,"USD 300,000",Customer,,,go/psf-request,psf-request,,,FALSE,FALSE,
MCO CORP SUR,Chile,3:  Proposal / Negotiation,Build with AI,Infrastructure AI,,Canal 13 SpA,Mario Alegre,,C13 - WL Audencias (2) - Servinformacion,Sebastian Moreno,"USD 26,000",Partner,INFORMACION LOCALIZADA S.A.S AGENCIA EN CHILE,,go/psf-request,psf-request,,CANAL 13 AUDIENCIAS,FALSE,FALSE,
"UK/IE Grocery, CPG & Travel",United Kingdom,0-2: Tech Eval/Solution Dev,,Gemini AI,,Flooid Limited,Andy Kenney,,Flooid - Gemini Enterprise,Muharrem Erdogdu,,Unknown,,,go/psf-request,psf-request,,Flooid - Gemini Enterprise / Vertex,TRUE,TRUE,Gemini enterprise
Multi Industry,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,,,Jamef Transportes Ltda,Alexandre Mandl,,Jamef | WKL - Mitigação,,"USD 50,000",Unknown,,,go/psf-request,psf-request,,Jamef  - IA Mitigação,FALSE,FALSE,
FSI,Brazil,0-2: Tech Eval/Solution Dev,,,,BB Tecnologia e Serviços S/A,Rafael Farias,,"BBTS - Secops Enterprise - 150K iACV, New, Direct",,,Customer,,,go/psf-request,psf-request,,"BBTS - Secops Enterprise - 150K iACV, New, Direct",TRUE,TRUE,Gemini enterprise
BR CORP,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,,,Sinqia,Saulo Pereira,,#WL_EvertecBrasil_GE_Sauter,,"USD 180,000",Partner,SAUTER TECNOLOGIA E SERVICOS LTDA,,go/psf-request,psf-request,,#GE_EvertecBrasil_Sauter,FALSE,FALSE,
Brazil DN,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Platform,,ENJOEI S.A,Thiago Lima,,Enjoei - AI Launch Products,,"USD 120,000",Customer,COMPASS.UOL TECNOLOGIA LTDA AVENUE CODE,,go/psf-request,psf-request,,Enjoei | Vertex AI + Veo + Imagen,FALSE,FALSE,
Brazil DN,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Platform,,FRETEBRAS INTERNET E SERVICOS LTDA,Thiago Lima,,FreteBras - Gemini Enterprise,,"USD 200,000",Customer,,,go/psf-request,psf-request,,[Fretebras] - AWT - Gemini Enterprise #FY26_AWT_Renewal,TRUE,TRUE,Gemini enterprise
Brazil DN,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Platform,,SUPERLOGICA TECNOLOGIAS S.A.,Thiago Lima,,Super Logica - Gemini Enterprise,Carlos Cabral,"USD 110,000",Customer,,,go/psf-request,psf-request,,SuperLogica | Gemini Enterprise,TRUE,TRUE,Gemini enterprise
Chile,Chile,0-2: Tech Eval/Solution Dev,,,,Cencosud S.A.,Victoria Vecchio,,Cencosud - SAP historico,,"USD 300,000",Unknown,,,go/psf-request,psf-request,,Cencosud - SAP Data historica,FALSE,FALSE,
Brazil DN,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,,,MERCADO BITCOIN SERVICOS DIGITAIS LTDA,Thiago Lima,,MB - Gemini Enterprise,,"USD 120,000",Unknown,,,go/psf-request,psf-request,,Mercado Bitcoin | Gemini Ent,TRUE,FALSE,Gemini enterprise
Health,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Gemini AI,,Qualicorp Consultoria e Corretora de Seguros S/A,Adriana Alonso,,Qualicorp: Business Agility (Gemini Enterprise),Renato Gregio,"USD 85,000",Unknown,,,go/psf-request,psf-request,,Qualicorp: Business Agility (Gemini Enterprise),TRUE,TRUE,Gemini enterprise
Brazil DN,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,,,Contabilizei,Tammy Fukuoka,,Contabilizei - Gemini Enterprise,Mari Sato,"USD 433,440",Unknown,,,go/psf-request,psf-request,,Contabilizei-Renewal-Vertex AI Spark Ramp-2026,TRUE,FALSE,Gemini enterprise
Brazil DN,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Platform,,QuintoAndar,Thiago Lima,,Renew Gemini Enterprise - QuintoAndar,,"USD 500,000",Customer,,,go/psf-request,psf-request,,QuintoAndar | Gemini Enterprise (Renewal),TRUE,TRUE,Gemini enterprise
Brazil DN,Brazil,0-2: Tech Eval/Solution Dev,,,,INNERPLAY TECNOLOGIA LTDA,Larissa Kinoshita,,Inner - New product,,"USD 130,000",Unknown,,,go/psf-request,psf-request,,Inner - Commit,FALSE,FALSE,
MCO CORP CCA,Peru,0-2: Tech Eval/Solution Dev,Build with AI,,,Grupo RPP S.A.C.,Arianne Mahuad,,Grupo RPP | 200 Licencias Gemini Enterprise,,"USD 48,000",Partner,,,go/psf-request,psf-request,,Grupo RPP | Agente Generador Propuestas Comerciales,TRUE,FALSE,Gemini enterprise
Brazil PS,Brazil,4.1: Pre Ramp / Mobilize,Build with AI,Gemini AI,,Secretaria da Inovação e Inteligência Artificial - SEIA,Andrea Rodacki,,GE - SEIA,,"USD 370,000",Partner,GENTROP CLOUD BRASIL LTDA EPP,,go/psf-request,psf-request,,"Secretaria da Inovação e Inteligência Artificial - SEIA - CELEPAR / $21,249,600 TCV / 3 YR",TRUE,FALSE,Gemini enterprise
FSI,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Conversation,,Banco Pine S/A,Renata Taglianetti,,Pine_Juridico,,"USD 45,000",Customer,,,go/psf-request,psf-request,,Pine_JornadaJuridico,FALSE,FALSE,
Brazil DN,Brazil,0-2: Tech Eval/Solution Dev,,,,OMIEXPERIENCE S.A.,Danae Cassis,,[Omie] Gemini Enterprise Expansion,,,Unknown,,,go/psf-request,psf-request,,[Omie] Expansion Gemini Enterprise,TRUE,TRUE,Gemini enterprise
Brazil DN,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Gemini AI,,Webmotors Brazil,Tammy Fukuoka,,Webmotors - Gemini Enterprise,,"USD 60,000",Unknown,,,go/psf-request,psf-request,,WebMotors | Gemini Ent,TRUE,FALSE,Gemini enterprise
Brazil DN,Brazil,3:  Proposal / Negotiation,Build with AI,Cloud AI - Vertex AI Platform,,Webmotors Brazil,Tammy Fukuoka,,[Webmotors] Vertex AI,João Garrido,"USD 400,000",Unknown,,,go/psf-request,psf-request,,Webmotors | Vertex Gen AI,FALSE,FALSE,
MCO CORP CCA,Peru,0-2: Tech Eval/Solution Dev,,,,Chazki,Arianne Mahuad,,Chazki | GCP Routing AI,,"USD 50,000",Partner,,,go/psf-request,psf-request,,Chazki | GCP Routing AI,FALSE,FALSE,
Brazil DN,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Conversation,,Webmotors Brazil,Tammy Fukuoka,,Webmotors - Simulação de Financiamento,,"USD 75,000",Unknown,,,go/psf-request,psf-request,,,FALSE,FALSE,
Brazil DN,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Search,,Webmotors Brazil,Tammy Fukuoka,,Webmotors - Marketplace optimization,,"USD 50,000",Unknown,,,go/psf-request,psf-request,,,FALSE,FALSE,
MX AMX,Mexico,3:  Proposal / Negotiation,Build with AI,,,"Triara.com, S.A. de C.V.",Luz Elena Diaz,,Triara - Claro Drive - Buscador,Liliana Sánchez,"USD 240,000",PSO,,,go/psf-request,psf-request,,TRIARA.COM/$5.6M TCV/3 YR,FALSE,FALSE,
MX AMX,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,"Triara.com, S.A. de C.V.",Luz Elena Diaz,,Triara - Claro Sports - Buscador,Liliana Sánchez,"USD 60,000",PSO,,,go/psf-request,psf-request,,TRIARA.COM/$5.6M TCV/3 YR,FALSE,FALSE,
"MX FSI, Services & WR",Mexico,0-2: Tech Eval/Solution Dev,Build with AI,Gemini AI,,DESC CORPORATIVO SA DE CV,Fernando Irure,,Gemini para optimización de procesos Tremek,,"USD 100,000",Unknown,,,go/psf-request,psf-request,,New Commits outside SAP,FALSE,FALSE,
"MX FSI, Services & WR",Mexico,0-2: Tech Eval/Solution Dev,Build with AI,Gemini AI,,"Rcd Resorts, S.A. de C.V.",Marisol Escribá,,RCD - AI use cases,,"USD 300,000",Unknown,,7/26/2027,go/psf-request,psf-request,,RDC- AI Strategy 2026,FALSE,FALSE,
Brazil DN,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Solutions,,Clinicorp,Tammy Fukuoka,,Clinicorp - Gemini Enterprise renewal,,"USD 150,000",Unknown,,,go/psf-request,psf-request,,,TRUE,FALSE,Gemini enterprise
Brazil DN,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Platform,,Clinicorp,Tammy Fukuoka,,Clinicorp - AI migration,,"USD 150,000",Unknown,,,go/psf-request,psf-request,,,FALSE,FALSE,
Brazil DN,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,,,Kiwify,Tammy Fukuoka,,Kiwify - Gemini Enterprise,,"USD 75,000",Unknown,,,go/psf-request,psf-request,,Kiwify - Gemini Enterprise,TRUE,TRUE,Gemini enterprise
Brazil DN,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Platform,,Kiwify,Tammy Fukuoka,,Kiwify - Vertex AI,,"USD 50,000",Unknown,,,go/psf-request,psf-request,,Kiwify - Gemini Enterprise,FALSE,TRUE,Gemini enterprise
Brazil DN,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,,,TRACTIAN TECHNOLOGIES INC,Tammy Fukuoka,,Tractian - Gemini Enterprise,,"USD 150,000",Unknown,,,go/psf-request,psf-request,,,TRUE,FALSE,Gemini enterprise
Brazil DN,Brazil,0-2: Tech Eval/Solution Dev,,,,TRACTIAN TECHNOLOGIES INC,Tammy Fukuoka,,Tractian - Vertex AI,,"USD 100,000",Unknown,,,go/psf-request,psf-request,,,FALSE,FALSE,
Brazil DN,Brazil,4.1: Pre Ramp / Mobilize,Build with AI,Cloud AI - Vertex AI Platform,,Just Travel (Business/Productivity Software),Suzan Soares,,#Justtravel #AI #Bootcamp,Gabrielle Ferreira,"USD 25,419",Partner,SANTODIGITAL DISTRIBUICAO E CONSULTORIA EM INFORMATICA LTDA,5/8/2026,"http://go/vector/0RJKf000000seBlOAI - PARTNER: SANTODIGITAL DISTR... | STATUS: Approved (2026-03-18) | AMT: 2,517 | TYPE: Consumption Planning (GenAI)",Approved,Consumption Planning (GenAI),Just Travel #VCBD #BOSSABOOTCAMP,FALSE,FALSE,
Brazil DN,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,,,PIPEFY MARKETING E TECNOLOGIA LTDA,Tammy Fukuoka,,Pipefy - Gemini Enterprise,,"USD 200,000",Unknown,,,go/psf-request,psf-request,,,TRUE,FALSE,Gemini enterprise
Brazil DN,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,,,PIPEFY MARKETING E TECNOLOGIA LTDA,Tammy Fukuoka,,Pipefy - Vertex AI,,"USD 100,000",Unknown,,,go/psf-request,psf-request,,,FALSE,FALSE,
BR CORP,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,,,SERTTEL SOLUCOES EM MOBILIDADE E SEGURANCA URBANA LTDA,Felipe Pilon,,Serttel - Gemini Enterprise,,"USD 30,000",Partner,Safetec Informatica Ltda.,,go/psf-request,psf-request,,Serttel - Gemini Enterprise #M26,TRUE,TRUE,Gemini enterprise
BR CORP,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,,,BERNHOEFT CONTADORES ASSOCIADOS SS,Felipe Pilon,,Vertex AI - Incremento,,"USD 22,456",Partner,CLOUD ACE LTDA.,,go/psf-request,psf-request,,Bernhoeft - #Corporate #Re-Commit,FALSE,FALSE,
BR CORP,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Gemini AI,,Banco Bocom BBM,Daniela Benevides,,Banco Bocom BBM - Gemini Enterprise,,"USD 20,000",Partner,MADEINWEB S/A,,go/psf-request,psf-request,,BANCO BOCOM # GEMINI ENTERPRISE,TRUE,TRUE,Gemini enterprise
MCO CORP SUR,Argentina,0-2: Tech Eval/Solution Dev,Build with AI,Gemini AI,,Aca Salud,Noelia Rodriguez,,Avalian #OUT #GeminiEnterprise,,"USD 30,000",Partner,Admazing Cloud,,go/psf-request,psf-request,,Avalian #OUT #GeminiEnterprise,TRUE,TRUE,Gemini enterprise
MCO CORP CCA,Dominican Republic,0-2: Tech Eval/Solution Dev,,,,Hire Horatio,Ricardo Agosto,,Gemini Enterprise Citiworks,,"USD 36,000",Unknown,,,go/psf-request,psf-request,,Gemini Enterprise Citiworks,TRUE,TRUE,Gemini enterprise
Scaled PS,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Gemini AI,,Universidade Estadual de Goiás,Moacir Quadros,,UEG - Gemini Enterprise (20K Edu Std) #GCPSSummit26,,"USD 140,000",Partner,REEDUCATION CONSULTORIA E TECNOLOGIA LTDA.,,go/psf-request,psf-request,,UEG - Gemini Enterprise (20K Edu Std)  #GCPSSummit26,TRUE,TRUE,Gemini enterprise
EDU PS,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Platform; Gemini AI; Databases,,Cruzeiro do Sul Educacional S/A,Bruno Schenardi,,Cruzeiro do Sul - Empregabilidade - Mosaic & VITE #seal,Fabricio Lopes Sanchez,"USD 60,000",Unknown,,,go/psf-request,psf-request,,[Cruzeiro] Tutor de Empregabilidade,FALSE,FALSE,
Health,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Gemini AI,,Unimed Vitória Cooperativa de Trabalho Médico,Flavia Dias,,Unimed Vitoria - Gemini Enterprise | AI initiatives,Amanda Furtado Brinhosa,"USD 15,000",Unknown,,7/30/2026,go/psf-request,psf-request,,Unimed Vitoria - Gemini Enterprise,TRUE,TRUE,Gemini enterprise
EDU PS,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Platform; Cloud AI - Vertex AI Search; Cloud AI - Vertex AI Solutions; Gemini AI; Databases,,Cruzeiro do Sul Educacional S/A,Bruno Schenardi,,Cruzeiro do Sul - Mentor Multiagentes - ESX #seal,Fabricio Lopes Sanchez,"USD 120,000",Unknown,,,go/psf-request,psf-request,,[Cruzeiro] Agnt Mentor - Mentoria p estudo,FALSE,FALSE,
EDU PS,Brazil,0-2: Tech Eval/Solution Dev,,Cloud AI - Vertex AI Platform; Cloud AI - Vertex AI Search; Cloud AI - Vertex AI Solutions; Gemini AI; Databases,,SEED PR Parana Secretaria de Estado da Educacao,Alexandre Campos,,SEED-PR - Gêmeo Digital Docente - ESX #seal,Fabricio Lopes Sanchez,"USD 30,000",Unknown,,,go/psf-request,psf-request,,SEED PR Videos Estagio Probatorio com Agentes,FALSE,FALSE,
BR CORP,Brazil,0-2: Tech Eval/Solution Dev,,,,Sonner Empreendimentos Ltda,Saulo Pereira,,#WL_Sonner_Antigravity_GE_CloudACE,,"USD 65,000",Partner,Cloud Ace Co. Ltd,,go/psf-request,psf-request,,#GE_Sonner_Antigravity_CloudACE,FALSE,FALSE,
BR CORP,Brazil,0-2: Tech Eval/Solution Dev,,,,Sonner Empreendimentos Ltda,Saulo Pereira,,#WL_Sonner_ProvisioningThroughput_CloudACE,,"USD 75,000",Partner,Cloud Ace Inc.,,go/psf-request,psf-request,,#RevAI_Sonner_ProvisioningThroughPut_CloudACE,FALSE,FALSE,
BR CORP,Brazil,3:  Proposal / Negotiation,Build with AI,,,Valgroup,Felipe Pilon,,Valgroup - Projeto Assepsia,,"USD 20,000",Partner,SAUTER TECNOLOGIA E SERVICOS LTDA,,go/psf-request,psf-request,,Valgroup - Projeto Assepsia,FALSE,FALSE,
EDU PS,Brazil,0-2: Tech Eval/Solution Dev,,Gemini AI; Databases,,SENAI SP - Serviço Nacional de Aprendizagem Industrial do Estado de São Paulo,Rosana Felix,,Senai SP - ESX Agente Acadêmico - USD 50k #seal,Fabricio Lopes Sanchez,"USD 50,000",Partner,"BE SOLUTION COMUNICAÇÃO INTEGRADA, PESQUISA, MARKETING E INTELIGÊNCIA DE DADOS LTDA.",,go/psf-request,psf-request,,Senai SP - ESX Agente Acadêmico - USD 100k - 1y,FALSE,FALSE,
Chile,Chile,3:  Proposal / Negotiation,Build with AI,,,ARAUCO,Mariana Portela,,"[ARAUCO] CVs for Sucuriú factory (Brasil) using GE, Vertex AI Search & BQ",Kevin Cortés,"USD 24,000",Customer,,,go/psf-request,psf-request,,ARAUCO - Google Cloud Platform,TRUE,FALSE,Gemini enterprise
BR CORP,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Gemini AI,,COMPANHIA DE PARTICIPACOES SINOSSERRA,Daniel Prudencio,,Sinosserra - Gemini Enterprise for CX para agentes de atendimento e Gemini Ente,,"USD 93,000",Partner,HVAR CONSULTORIA LTDA ME,,go/psf-request,psf-request,,Sinosserra - Gemini Enterprise for CX para agentes de atendimento e Gemini Enterprise,TRUE,TRUE,Gemini enterprise
BR CORP,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Gemini AI,,Positivo Tecnologia,Daniel Prudencio,,#Positivo Tecnologia #Parceria estrategica Gemini Enterprise (Big Bet),,"USD 161,700",Unknown,,,go/psf-request,psf-request,,#Positivo Tecnologia #Parceria estrategica Gemini Enterprise (Big Bet),TRUE,TRUE,Gemini enterprise
EDU PS,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Solutions,,ADM SEED PR Paraná Secretaria de Estado da Educação,Alexandre Campos,,ADM SEED PR - ESX Agentic Student Experience #seal,Fabricio Lopes Sanchez,"USD 1,500,000",Unknown,,,go/psf-request,psf-request,,ADM SEED PR - ESX Agentic Student Experience,FALSE,FALSE,
MX Large Accounts,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,Gemini AI,,"Grupo Ferroviario Mexicano, S.A. de C.V.",Manuel Rivas,,Ferromex_Gen AI_Gemini Enterprise CX,Abelardo Colunga,"USD 85,000",Partner,INSAITE,8/31/2027,go/psf-request,psf-request,,Ferromex_Gen AI_Gemini Enterprise CX,TRUE,TRUE,Gemini enterprise
MCO CORP NORTE,Colombia,0-2: Tech Eval/Solution Dev,Build with AI,,,MANUFACTURAS ELIOT S A S,Santiago Guerrero,,FY26 Parptimo # Gemini enterprise # IA para mejorar el diseño,Renan Teixeira Felix,"USD 60,000",Partner,TIVIT COLOMBIA TERCERIZACION DE PROCESOS SERVICIOS Y TECNOLOGIA S A S,,go/psf-request,psf-request,,FY26 Parptimo # Gemini enterprise # IA para mejorar el diseño.,TRUE,TRUE,Gemini enterprise
Argentina,Brazil,0-2: Tech Eval/Solution Dev,,,,SKY SERVICOS DE BANDA LARGA LTDA.,Fer Garola,,SKY IAAS,,"USD 100,000",Unknown,,,go/psf-request,psf-request,,M26 - Commit SKY Brasil,FALSE,FALSE,
Bay Area & Semi,United States,0-2: Tech Eval/Solution Dev,Build with AI,,,HP Inc.,Heather Votel,,HP - Gemini Enterprise,Noura Daadaa,"USD 1,000,000",Customer,,9/1/2027,go/psf-request,psf-request,,HP - Gemini Enterprise,TRUE,TRUE,Gemini enterprise
MCO CORP CCA,Guatemala,0-2: Tech Eval/Solution Dev,Build with AI,,,McDonalds Mesoamerica,Daniel Cornejo,,McDonalds Mesoametica - GemEnt,,"USD 130,000",Partner,,,go/psf-request,psf-request,,McDonalds Mesoamerica - Google Cloud - Plataforma SAP Infra,FALSE,FALSE,
Health,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,,,Rede Mater Dei de Saude,Natalia Konishi,,WL - Rede MaterDei - Gemini Enterprise,Filipe Borges,"USD 100,000",Customer,,,go/psf-request,psf-request,,Rede MaterDei - Gemini Enterprise,TRUE,TRUE,Gemini enterprise
Brazil PS,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Infrastructure AI; Gemini AI,,Receita Federal do Brasil - RFB,Aline Bergamaschi,,Gemini Enterprise Adoption,Vitor Vieira,"USD 1,800,000",Customer,,,go/psf-request,psf-request,,Receita Federal #GCP #Gemini Enterprise,TRUE,TRUE,Gemini enterprise
Brazil PS,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Gemini AI,,Advocacia Geral da Uniao,Aline Bergamaschi,,Gemini Enterprise Adoption,Vitor Vieira,"USD 3,600,000",Unknown,,,go/psf-request,psf-request,,[AGU] Gemini Enterprise - #10k  seats,TRUE,TRUE,Gemini enterprise
Brazil PS,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Gemini AI,,DATAPREV,Aline Bergamaschi,,Gemini Enterprise Adoption,,"USD 30,000,000",Unknown,,,go/psf-request,psf-request,,Gemini Enterprise Dataprev + MGI,TRUE,TRUE,Gemini enterprise
MX Multi-industry & Monterrey,Mexico,0-2: Tech Eval/Solution Dev,Build with AI,,,"Conservas La Costeña, S.A. de C.V.",Eduardo Bello,,Analytics DR + Cortex Use Cases,,"USD 300,000",Partner,SITINFORMACION S.A de C.V,7/12/2027,go/psf-request,psf-request,,Commit La Costeña 2026,FALSE,FALSE,
MCO CORP SUR,Chile,0-2: Tech Eval/Solution Dev,,Gemini AI,,Constructora Excon S.A.,Mario Alegre,,Constructora Excon S.A. #OUT #GCP #GeminiEnterprise,,"USD 5,004",Unknown,,,go/psf-request,psf-request,,Constructora Excon S.A. #OUT #GCP #GeminiEnterprise,TRUE,TRUE,Gemini enterprise
MCO CORP SUR,Chile,0-2: Tech Eval/Solution Dev,Build with AI,Gemini AI,,Cooperativa Capel,Felipe Albertini,,Cooperativa Capel #OUT #GCP #GeminiEnterprise,,"USD 20,000",Unknown,,,go/psf-request,psf-request,,Cooperativa Capel #OUT #GCP #GeminiEnterprise,TRUE,TRUE,Gemini enterprise
MCO CORP SUR,Chile,0-2: Tech Eval/Solution Dev,,,,Geti solutions SPA,Christian Cuadros,,GETISOLUCIONES OUT VERTEXAI,,"USD 10,000",Unknown,,,go/psf-request,psf-request,,GETISOLUCIONES OUT VERTEXAI,FALSE,FALSE,
